NVDA,TSLA,AAPL,AMD,GOOGL
0.34581,2.14,11.37,5.3,14.5
0.33113,2.1,11.08,5.05,14.25
0.32196,2.11,10.98,4.99,14.07
0.34008,2.17,11.36,5.3,14.7
0.34191,2.12,11.27,5.32,14.57
0.35842,2.18,11.54,5.69,14.98
0.36278,2.17,11.71,5.7,15.34
0.36049,2.22,11.77,5.65,15.51
0.35498,2.29,11.87,5.76,15.64
0.34994,2.32,11.8,5.66,15.59
0.34787,2.28,11.75,5.72,15.58
0.33687,2.06,11.8,5.47,15.4
0.34168,2.07,11.89,5.54,15.68
0.3332,2.03,11.83,5.3,15.63
0.32402,1.96,11.74,5.18,15.64
0.31141,1.9,11.48,5.07,15.45
0.30866,1.91,11.44,5.04,15.49
0.30981,1.87,11.5,5.13,15.65
0.30167,1.85,11.54,4.86,15.54
0.31875,1.86,11.96,5.19,15.76
0.31462,1.84,11.97,5.08,15.64
0.32804,1.85,12.03,5.45,15.74
0.32494,1.86,12.18,5.41,15.83
0.32242,1.9,12.28,5.38,16.0
0.31439,1.9,12.16,5.28,15.99
0.32036,1.92,12.23,5.34,16.06
0.31783,1.9,12.23,5.4,16.14
0.32196,1.87,12.42,5.48,16.63
0.32563,1.85,12.48,5.46,16.7
0.33733,1.81,12.62,5.46,16.47
0.33343,1.79,12.75,5.43,16.25
0.33343,1.82,12.73,5.59,15.56
0.33205,1.84,12.78,5.71,15.58
0.3254,1.88,12.76,5.81,15.65
0.32334,1.88,12.72,5.82,15.74
0.31485,1.52,12.68,5.66,15.62
0.31004,1.77,12.82,5.73,15.71
0.32058,1.79,12.96,5.97,15.82
0.32907,1.78,12.92,6.22,15.99
0.32609,1.77,12.69,6.42,14.65
0.33503,1.78,12.91,6.52,14.64
0.3426,1.83,12.69,6.53,14.52
0.34054,1.86,13.49,6.73,14.23
0.33733,1.93,13.43,6.77,14.2
0.34191,1.96,13.51,6.82,14.5
0.33939,1.97,13.68,6.74,14.44
0.3387,1.94,13.78,6.71,14.5
0.34237,1.97,13.77,6.9,14.52
0.3551,2.02,13.74,6.93,14.63
0.36278,2.08,13.88,7.08,14.91
0.35991,2.12,14.01,6.92,15.22
0.36094,2.11,14.16,7.13,15.17
0.37402,2.13,14.39,7.25,15.24
0.37379,2.17,14.89,7.24,15.28
0.3645,2.07,14.9,7.05,15.15
0.37035,2.1,15.18,7.29,15.3
0.37241,2.21,15.38,7.32,15.24
0.37081,2.24,15.03,7.3,15.14
0.37723,2.28,15.16,7.59,15.16
0.36347,2.33,15.16,7.42,15.11
0.36519,2.3,15.55,7.28,15.35
0.36278,2.28,15.49,7.14,15.2
0.36484,2.3,15.59,7.29,15.15
0.36209,2.25,15.77,7.46,15.24
0.35475,2.24,15.88,7.47,15.23
0.35154,2.25,16.17,7.52,15.46
0.34742,2.23,16.38,7.35,15.45
0.34971,2.29,16.44,7.51,15.56
0.35269,2.27,16.46,7.46,15.53
0.34076,2.25,16.1,7.07,15.35
0.33755,2.21,16.01,6.9,15.12
0.33962,2.21,16.02,7.17,15.17
0.34065,2.2,16.37,7.47,15.18
0.33985,2.32,16.46,7.58,15.0
0.33446,2.4,16.67,7.5,15.13
0.33916,2.41,17.15,7.76,15.44
0.32941,2.35,17.8,7.76,15.4
0.33434,2.33,17.68,8.25,15.53
0.3348,2.35,17.68,8.2,15.62
0.33572,2.33,18.15,8.18,15.85
0.33022,2.33,18.3,8.06,15.83
0.33159,2.34,18.19,8.04,16.0
0.33113,2.29,18.1,8.03,16.15
0.33354,2.27,18.0,8.09,16.06
0.33755,2.49,18.33,8.24,16.23
0.33985,2.53,18.55,8.19,16.17
0.34764,2.52,18.65,8.08,16.39
0.34925,2.49,18.41,8.12,16.21
0.35303,2.48,18.1,8.02,16.03
0.35154,2.44,18.68,8.2,16.17
0.34581,2.53,19.0,7.98,16.06
0.33595,2.33,18.85,7.81,15.88
0.33549,2.3,19.13,7.87,15.81
0.33113,2.21,19.21,7.75,15.77
0.32471,2.16,18.98,7.53,15.67
0.32884,2.21,18.91,7.64,15.9
0.33664,2.23,18.8,7.92,16.27
0.32471,2.24,18.27,7.73,15.61
0.32081,2.15,17.52,7.7,15.15
0.3215,2.15,18.41,7.94,15.24
0.31806,2.18,18.37,7.97,15.18
0.31313,2.21,17.74,7.97,14.98
0.30706,2.21,17.3,7.76,14.9
0.30339,2.13,17.26,7.39,14.94
0.29398,2.12,16.92,7.31,15.03
0.29995,2.19,18.42,7.39,15.24
0.30018,2.23,18.35,7.45,15.38
0.29765,2.22,18.21,7.33,15.37
0.29811,2.21,17.63,7.36,15.12
0.30339,2.25,17.58,7.59,15.11
0.29467,2.26,17.69,7.63,15.18
0.28963,2.16,17.57,7.41,15.27
0.28114,2.12,17.07,7.18,14.92
0.28596,2.16,17.2,7.18,15.19
0.28573,2.01,17.16,7.03,15.32
0.28688,2.0,17.19,6.86,15.23
0.28481,2.2,17.23,6.78,15.34
0.30293,2.15,17.11,6.78,15.13
0.30109,2.0,16.86,6.75,15.1
0.29811,1.96,16.7,6.6,15.28
0.29203,1.95,16.49,6.39,15.72
0.29009,1.9,16.01,6.13,15.57
0.27701,1.84,16.01,6.01,15.01
0.28183,1.92,16.95,6.3,15.35
0.27839,2.05,16.82,6.16,15.02
0.28527,2.07,17.23,6.08,15.23
0.2777,2.02,17.07,6.02,15.09
0.28435,1.99,16.98,6.22,14.79
0.29169,2.11,17.28,6.46,14.86
0.28825,2.03,17.49,6.15,14.7
0.28504,1.97,17.44,6.08,14.52
0.27472,1.88,16.94,5.73,14.27
0.26899,1.86,17.04,5.63,14.46
0.27667,1.86,16.99,5.83,14.26
0.28412,1.95,17.26,6.02,14.51
0.27266,1.93,17.26,5.76,14.45
0.27793,2.01,17.52,5.91,14.51
0.28114,1.94,17.25,5.69,14.21
0.28688,1.98,17.4,5.91,14.12
0.27931,1.98,17.28,5.76,14.02
